TARGET,X1,X2,X3,X4,X5
287.2,3612,6750,2344,5,A
279.4,3514,6540,2304,6,A
308.9,3885,13051,2324,6,A
273.6,3441,4200,2428,7,A
400.8,5042,4117,2744,7,A
338,4252,6000,2244,7,A
294.3,3702,4486,2612,6,A
357.7,4499,6057,2636,6,B
319.1,4014,4386,2504,7,A
206,2591,2436,2476,5,A
282.1,3548,4603,2531,7,C
282.4,3552,5401,2016,5,A
293.9,3697,5110,2412,6,A
322.4,4055,5981,2504,7,A
337.2,4241,13250,2508,6,A
313.7,3946,4288,2368,9,A
280.2,3524,4200,2164,6,A
297.8,3746,5975,2628,7,A
474.4,5967,5604,3526,8,A
269,3384,5301,3714,9,A
313.6,3945,4998,2203,7,A
322.1,4052,7163,2116,7,A
204.9,2577,4200,2296,5,A
563.1,7083,9021,4065,8,A
313.1,3938,4696,2184,7,A
282.5,3553,6000,2212,8,A
337,4239,6047,2568,7,B
331.2,4166,13494,2340,6,A
311.1,3913,6000,2140,7,A
355.9,4477,5998,2184,8,B
315,3962,6725,2064,6,A
177.4,2231,3624,821,5,A
298.1,3750,6000,2212,7,A
331,4163,3603,3063,5,B
396.8,4991,14065,2424,9,B
349.3,4394,5050,3502,9,B
338.2,4254,9733,2902,6,A
276.6,3479,4200,2000,6,A
255,3207,4200,1940,7,A
277.7,3493,4759,1989,5,A
347.9,4376,4269,2236,6,A
440.2,5537,8247,3210,7,B
357.3,4494,7939,2136,9,A
558.8,7029,8317,4133,8,A
305,3836,3861,2191,7,A
322.4,4055,4265,2307,6,B
105,1320,997,1319,4,A
380.6,4787,6074,2668,8,B
350.1,4404,14707,3057,7,A
302.8,3809,5975,2326,7,A
310.7,3908,6465,1948,5,A
290.2,3650,6000,2212,7,A
320.2,4028,6047,2486,6,B
313.6,3945,8104,3202,5,A
320,4025,4411,2284,7,A
282.2,3550,5823,2100,6,A
287.4,3615,5277,2092,7,A
336.6,4234,4200,3870,7,A
307.2,3864,6100,2184,8,A
277,3484,4749,1953,7,A
347.2,4367,10050,3104,8,A
201,2528,4435,2823,7,A
353.5,4447,9747,2100,9,C
423.4,5326,9730,2776,8,A
323.5,4069,6022,3246,7,A
576,7246,6864,5122,8,A
301.1,3787,6271,1530,8,A
374,4704,7550,2623,6,B
300,3774,5975,2736,7,A
348.8,4387,5999,2556,7,A
308.6,3882,5742,2120,7,A
320.9,4036,8088,2240,8,A
326.8,4111,4880,2556,6,C
354.4,4458,6710,3196,7,B
265.3,3337,7045,2697,6,A
376.2,4732,2700,2448,8,A
296.9,3735,4659,1984,5,A
252.985,3182,7270,2210,7,A
339.1,4265,5273,2769,7,B
299.4,3766,4949,2088,6,B
323.5,4069,5204,2508,6,A
359.3,4519,5918,2574,8,A
361.7,4550,5376,2156,7,B
256.4,3225,2410,2535,7,A
236.7,2977,3248,1620,6,A
250.3,3148,4270,2017,6,A
340.7,4286,5941,2712,7,B
312.5,3931,5939,3160,7,A
287.4,3615,6100,2076,7,A
320.8,4035,6000,2425,7,A
329.4,4143,6043,2628,7,A
307.4,3867,10067,2238,8,A
327,4113,10030,2344,6,A
406.9,5118,6756,2604,7,A
270.4,3401,5246,2568,6,A
278.6,3504,6076,2264,6,A
392,4931,5671,3412,9,C
310.7,3908,4407,1968,6,A
283,3560,4514,2140,5,A
353.5,4447,5885,2418,9,A
302.3,3802,6043,2244,8,A
424.9,5345,5518,2500,6,A
348.3,4381,5441,2416,8,B
354.3,4457,9351,2296,7,A
297.9,3747,5151,2652,7,A
327.2,4116,6042,2840,7,A
306.1,3850,6877,2240,6,A
428.2,5386,5965,2998,8,C
366.3,4608,5662,2805,7,B
263.1,3309,5273,2448,6,A
388.7,4889,5775,2906,8,A
313.6,3945,5715,2540,6,A
263,3308,4473,1961,7,A
241.3,3035,4410,1964,7,A
326,4101,6194,2816,5,A
301,3786,6200,2067,6,C
272.6,3429,5246,2488,7,A
301.6,3794,6000,2166,6,A
366.8,4614,7128,2156,6,A
311,3912,5981,2364,6,A
282.5,3553,6000,2116,5,A
301.2,3789,5658,2640,7,A
298.8,3758,5963,2592,6,A
317.8,3997,6197,2294,6,A
371.9,4678,5695,2712,6,A
275.9,3470,7548,2552,6,A
297.7,3745,5700,2936,6,A
332.4,4181,7889,3588,8,A
297.1,3737,7917,2016,7,A
323.5,4069,7912,2842,7,A
306.4,3854,5273,2451,6,C
306.3,3853,5914,2120,8,A
280.6,3529,4410,1944,6,A
292.4,3678,4463,2298,6,A
307.2,3864,6691,2400,6,A
275.5,3465,4800,2392,6,A
259.1,3259,5273,2796,6,A
267.3,3362,4298,2623,7,A
334.9,4213,4860,3314,7,A
300.1,3775,5608,2311,5,A
332.4,4181,9820,2600,6,B
278.1,3498,11541,3508,5,A
350.3,4406,4654,3256,9,A
353.3,4444,6203,2160,8,A
213.4,2684,1696,2496,7,A
297.9,3747,5759,2624,7,B
316.7,3984,6004,2845,7,B
339,4264,10370,2836,7,A
340.1,4278,5712,3336,7,A
264.5,3327,5963,2041,7,A
281.9,3546,5739,2100,7,A
312.7,3933,5633,2732,6,A
290,3648,7280,2160,5,A
267,3358,3138,2468,6,A
289.8,3645,4253,2792,7,A
295.5,3717,6298,2218,6,A
298.1,3750,6506,2160,8,A
288.2,3625,4159,2356,6,A
281.9,3546,8318,2376,6,A
276.3,3475,7439,2459,6,A
329.7,4147,19466,2563,7,A
286.5,3604,4272,3084,8,A
348,4377,10493,2204,7,A
289.4,3640,5211,2085,6,A
325.5,4094,6083,2422,7,C
306,3849,6031,2116,8,A
309.2,3889,6000,2424,9,A
293.2,3688,7035,2032,5,A
295.7,3719,5836,2736,7,A
282.6,3555,5963,2136,7,A
342.5,4308,3500,2520,5,B
204.1,2567,3854,2022,6,A
346.5,4358,7680,2581,6,A
290.3,3651,4047,2328,7,A
273.1,3435,5356,1968,5,A
298.7,3757,4310,2640,6,A
325.7,4097,6895,2066,7,A
338.3,4255,6406,2066,8,B
265.9,3345,6946,2339,6,A
198.4,2495,3228,1755,6,A
298.6,3756,6935,2628,6,A
326.8,4111,6690,2900,7,A
350,4403,6900,2904,6,A
319.2,4015,6315,2220,7,A
398.2,5009,10044,2180,6,B
273.4,3439,7931,2376,6,B
288.4,3628,6000,2512,5,A
304.9,3835,6858,1808,7,A
313.4,3942,6031,2484,9,A
269.82,3394,10947,2384,6,A
203.7,2562,2174,2952,7,A
288.2,3625,4050,3224,6,C
262.4,3300,4911,2084,5,A
331.4,4169,10294,2944,6,A
284,3572,6035,2106,7,A
282.7,3556,4565,2416,6,A
246.8,3104,5963,2160,5,A
290.3,3651,6364,2136,6,A
301.8,3796,5090,2525,7,A
311.2,3914,9551,2508,6,C
299.1,3762,4772,2652,6,A
353.8,4450,19264,2634,6,A
290,3648,4050,2548,5,A
289.2,3638,4501,2520,6,A
293.9,3697,6008,3041,6,A
346.6,4360,4500,1920,7,A
314.2,3952,6998,2494,7,B
280.7,3531,6077,2097,6,A
298.6,3756,6000,2280,6,A
327.9,4124,10759,2756,6,A
442.2,5562,4459,2418,7,A
232.5,2924,2426,2398,6,A
302.2,3801,4283,1769,5,A
298.2,3751,4251,2384,6,C
317,3987,5963,2184,7,A
304.8,3834,6035,2160,8,A
281.7,3543,4272,1669,5,A
216.2,2719,3337,2358,6,A
302.2,3801,13149,2352,5,A
356.8,4488,17604,3136,5,A
317.8,3997,11250,2566,6,A
295.7,3719,4220,2392,6,A
249.2,3134,7103,2544,6,A
314.8,3960,6077,2232,7,A
220.4,2772,2644,1730,6,A
251,3157,2961,1633,4,B
280.8,3532,3158,2175,8,A
329.9,4150,8858,2436,7,A
345.6,4347,6000,2328,7,B
244.2,3072,1358,2576,8,A
261.1,3284,3958,2518,5,A
314.1,3951,10641,2136,6,A
288.4,3628,4000,2899,7,A
258.5,3251,4000,2622,6,A
269.1,3385,4351,1889,6,A
395.2,4971,4203,2336,7,A
333.8,4199,11844,2160,6,A
290.2,3650,5963,2164,7,A
276.7,3480,6035,2160,7,A
362,4553,4072,3241,7,B
301.2,3789,3200,2264,5,A
285.2,3587,8245,2569,7,B
352.7,4436,7649,2730,7,C
325.2,4091,6014,2832,7,A
437.9,5508,8861,5356,11,C
313.3,3941,6077,2172,7,A
338.7,4260,8815,2256,7,A
276.9,3483,4254,2100,5,C
280.3,3526,2845,3100,8,B
275.7,3468,6000,2080,6,A
281.7,3543,4204,2232,6,A
283.1,3561,4910,2520,5,A
277.6,3492,6750,2592,4,A
307.1,3863,7532,2898,6,A
307.8,3872,4117,2641,7,A
295.6,3718,1237,3039,7,A
370.5,4660,11617,2868,6,A
316.2,3977,5401,2478,7,A
300.4,3779,6044,2093,5,A
285.3,3589,4803,3280,8,A
290.2,3650,9387,2490,7,C
296.7,3732,5935,2013,6,A
312.3,3928,6035,2160,10,A
366.8,4614,9359,2848,10,C
362.3,4557,5726,2706,8,A
246,3094,6202,1964,5,A
360.8,4538,7285,2224,6,A
315.4,3967,4342,2916,7,A
286.3,3601,5877,2052,5,A
286.8,3607,4032,2586,8,A
314.3,3953,4162,2556,6,A
276.7,3480,4548,2287,6,C
322.3,4054,7999,2016,9,A
433.1,5448,6102,2308,6,A
270.7,3405,4858,2177,7,A
393.1,4945,6000,2600,8,B
287,3610,4000,2406,5,A
324.1,4077,5099,2597,7,A
316.2,3977,6750,3541,7,A
284.6,3580,6071,2136,6,A
292.1,3674,7444,2268,5,B
316.2,3977,10566,2252,5,A
335.6,4221,18670,3010,7,A
299.1,3762,5950,2096,9,A
463.9,5835,4478,3864,7,A
350.9,4414,5857,2740,8,A
326.3,4104,6035,2040,6,C
355.8,4475,8526,2068,9,A
273.9,3445,4207,2480,5,A
312.5,3931,3718,2379,7,A
360.6,4536,6761,2258,7,A
380.6,4787,6505,2356,7,A
377.5,4748,5494,2750,8,C
284.3,3576,6000,2136,6,A
250.2,3147,3630,2564,6,A
315.3,3966,4434,2156,8,A
310,3899,6000,2088,7,A
297.9,3747,4000,2352,8,A
176.9,2225,1037,2520,6,A
326.7,4109,12568,3230,11,A
370.3,4658,6091,2868,7,A
316.6,3982,6012,2244,6,A
324.9,4087,5668,2124,7,A
325.9,4099,5992,2904,8,A
288,3623,3417,2520,6,A
257.7,3241,4252,2451,6,A
309.6,3894,6380,2266,7,A
321.8,4048,5264,2664,8,C
343.1,4316,6000,2196,8,B
270.3,3400,3166,2647,6,A
309.9,3898,9861,2048,6,A
274.2,3449,10539,2528,6,A
314.2,3952,4331,2438,6,B
333.5,4195,6104,2328,8,B
262.3,3299,9358,2244,7,A
397.2,4996,7998,2229,6,A
315.6,3970,7038,2563,5,A
289.2,3638,6000,2096,7,A
329.8,4148,4477,2040,7,A
412,5182,8919,3190,7,A
288.3,3626,6000,2088,8,A
309.5,3893,5554,2432,7,A
265.3,3337,4297,2496,6,A
275.3,3463,4905,2926,6,A
283,3560,3108,2616,6,B
328.4,4131,11081,2272,6,C
313.4,3942,6000,2196,6,A
282.1,3548,6212,2720,4,A
336.3,4230,6131,2585,7,A
171.8,2161,2313,1862,5,A
231.1,2907,5657,2160,5,A
301.2,3789,3200,3128,7,A
420.7,5292,8501,2664,7,A
293.8,3696,4357,2830,7,A
301,3786,6000,2280,7,A
354.8,4463,4770,3939,9,A
337.5,4245,5755,2112,7,A
344.1,4328,6557,3039,6,A
346.2,4355,4527,2240,8,B
262.1,3297,6713,2194,6,A
418.4,5263,7996,2604,7,A
288.4,3628,4500,2104,8,A
289.3,3639,6000,2172,6,A
283.8,3570,3803,2434,6,C
302.9,3810,5954,2216,6,A
317.6,3995,8565,2160,10,A
338.3,4255,6976,2216,8,A
195.3,2456,4994,2190,7,A
311.9,3923,6612,2107,7,A
314.7,3958,9477,2160,7,A
286.8,3607,4369,2627,6,A
353.3,4444,6956,2368,7,A
259.4,3263,4770,2176,5,A
289.2,3638,4970,2742,7,A
289.2,3638,6214,2731,6,A
336.8,4236,5868,2904,8,A
346.4,4357,4802,2728,7,A
488.2,6141,18515,4449,9,A
314.7,3958,5964,2328,6,C
326.9,4112,6000,2209,8,A
319.9,4024,6025,2085,6,A
460.3,5790,6072,3057,8,A
283.4,3565,3801,2596,7,A
318.1,4001,5654,3007,6,A
292.8,3683,6470,2156,9,A
263.9,3319,3967,1434,6,A
333.7,4197,10438,2016,6,A
271.6,3416,6073,2131,5,A
315.2,3965,7274,2292,7,A
369.3,4645,4784,3410,7,B
324.2,4078,6612,2328,7,A
510.3,6419,10502,3846,9,B
350,4403,7140,2313,7,A
360.6,4536,4933,2014,7,A
311.9,3923,5352,2098,7,B
297.7,3745,5952,2592,7,A
344.6,4335,4000,2474,7,A
260.1,3272,5744,2032,5,A
312,3924,5218,2488,6,A
326.1,4102,6099,2305,8,A
296.2,3726,4161,2664,7,A
310.3,3903,6111,2148,8,A
290.1,3649,3904,2548,7,A
222.5,2799,2589,1516,4,A
561.8,7067,5832,4331,7,B
305,3836,4276,2796,7,B
315.3,3966,3828,2700,6,A
266.3,3350,2706,2928,7,A
444.6,5593,4851,2957,5,A
287.9,3621,4106,3100,4,A
293.3,3689,5563,2233,7,A
333.8,4199,6166,2232,7,B
286.2,3600,6067,2592,9,A
326.9,4112,9095,2144,6,A
322.9,4062,6612,2847,10,A
352.1,4429,8085,2862,6,A
276.9,3483,6569,2016,8,A
285.2,3587,5202,2352,6,A
330.6,4158,5691,2423,6,A
272,3421,3200,2856,6,A
298.1,3750,4193,2192,7,A
275.9,3470,4237,2436,6,A
272.1,3423,6408,3544,6,C
275.2,3462,4598,2140,5,A
299,3761,4941,2700,8,A
234,2943,3738,1694,6,A
298,3748,6594,2640,5,A
500,6290,8000,4400,12,A
277.4,3489,6291,2682,4,A
203.7,2562,3556,2184,5,A
297,3736,7877,1922,5,A
250.9,3156,5466,2223,5,A
289.8,3645,4240,2848,6,A
290.2,3650,6035,2120,6,A
288.2,3625,4084,2106,6,A
335.7,4223,8968,2432,7,A
389.4,4898,4988,2604,8,A
304.9,3835,4002,2686,7,A
246.3,3098,9282,2065,6,A
343.5,4321,14521,2588,7,A
426.3,5362,9661,2884,8,B
318.3,4004,4632,2886,6,A
343,4314,7324,2850,6,A
366.5,4610,5861,2706,8,A
325.7,4097,5113,2386,6,A
281.5,3541,4107,2542,6,A
475.2,5978,8000,3981,7,C
243.1,3058,3701,2017,6,C
317.3,3991,6651,2252,6,C
201.8,2538,5979,1308,5,C
434.6,5467,9689,3576,10,C
195.1,2454,2800,2606,6,A
217.3,2733,3900,2499,6,A
326,4101,4283,2810,7,C
296.9,3735,3644,2386,6,A
284.2,3575,4042,2505,6,A
282.2,3550,5753,2722,6,A
457.7,5757,3356,4176,8,B
266.7,3355,4591,2396,6,A
327.9,4124,3981,2040,7,A
287.6,3618,4216,2704,6,A
282.5,3553,4197,2388,6,A
314.9,3961,3382,2629,6,B
305.3,3840,4431,2479,6,A
382.5,4811,9259,3219,6,A
303.6,3819,4364,3250,6,A
340.1,4278,8991,2480,6,A
296.5,3729,5956,2936,6,A
330.3,4155,16000,3124,7,A
266.6,3353,2835,2464,6,A
236.9,2980,2990,1516,5,A
294.3,3702,4350,2208,6,A
295,3711,4353,3031,6,A
293.7,3694,4368,2940,6,A
490.1,6165,8372,4156,8,A
281.8,3545,4301,2432,6,A
238.6,3001,3435,2324,7,A
333.4,4194,6854,2746,8,B
322.2,4053,4151,2988,7,C
304.1,3825,4668,2428,6,A
234.2,2946,6765,1829,5,A
196.9,2477,3070,1600,6,A
271,3409,2837,2644,6,A
275.9,3470,4858,2191,6,A
554.4,6974,9897,3896,9,B
333.7,4197,4483,3402,10,A
299.6,3768,4508,2418,6,A
271.5,3415,2896,2464,6,A
307,3862,4306,3076,6,A
286.9,3609,4640,2318,7,B
283.8,3570,4238,2340,5,A
295.7,3719,4746,2512,6,A
217.3,2733,3461,2331,6,A
283.4,3565,3926,2960,6,A
226.4,2848,4000,2206,5,C
287,3610,4906,2764,6,A
480.7,6047,6013,4340,9,A
316.9,3986,12273,2768,7,B
263.5,3314,4177,1722,9,A
282.7,3556,4163,2432,7,A
182.2,2292,1821,2452,6,A
255,3207,4244,2340,5,A
273.5,3440,3717,2564,5,A
283.6,3567,4980,2400,6,A
383,4818,8000,3975,9,A
308,3874,4174,3568,6,A
361.1,4542,4823,2816,7,C
229.1,2882,2900,2183,7,A
398.2,5009,5954,3694,9,C
349.4,4395,6065,2402,8,A
313.6,3945,4342,2496,6,A
352.9,4439,7640,3468,8,A
192.4,2420,4237,2667,6,A
286.6,3605,5200,1716,7,A
270.7,3405,4165,2384,6,A
335.4,4219,7297,2913,6,A
253.6,3190,3015,2168,7,A
346.7,4361,3502,2523,8,A
335.5,4220,4111,2474,9,A
291.2,3663,6048,3336,7,A
192.5,2421,4500,1848,6,A
204.7,2575,1218,1965,6,A
397.4,4999,5625,2512,6,A
251.6,3165,4507,1616,4,A
315.5,3968,4442,3579,8,A
328.9,4137,9834,2598,6,A
239.4,3011,4800,1845,8,C
223.1,2806,6180,1648,4,C
291.3,3664,3931,2593,6,A
223.02,2805,4500,2129,6,A
424,5333,12870,5053,7,A
348.9,4389,2496,2511,7,A
225.8,2840,6145,1472,3,B
530.5,6673,4565,4088,9,B
273.3,3438,5076,2424,7,A
304.2,3826,7306,2040,6,A
380.2,4782,3944,3365,8,B
262.6,3303,4831,2484,5,A
632.89,7961,2415,6001,10,B
545.1,6857,9227,3510,6,A
278.6,3504,4655,3048,8,A
473.2,5952,6058,3174,7,A
356.4,4483,6253,2748,6,A
478.8,6023,6004,3217,8,A
318.6,4007,10500,2693,6,A
478.6,6020,6006,3129,7,A
344.6,4335,10615,2328,7,A
280.4,3527,3207,2622,7,A
259.6,3265,4500,3001,6,A
316.1,3976,4730,3243,6,A
370.1,4655,10546,3287,7,A
379.8,4777,23770,2938,7,A
215.5,2710,2670,1912,6,A
239.2,3009,5086,1910,6,A
313.1,3938,4993,2112,6,A
336.2,4229,4935,2028,6,A
198.7,2499,3600,1896,5,A
336.3,4230,4259,2662,6,C
245.5,3088,4500,2054,7,A
333.1,4190,11400,3188,8,A
354.2,4455,9945,2496,6,A
309.6,3894,4993,2199,6,A
434.8,5469,8951,3431,8,A
546.5,6874,7000,5884,9,A
314.7,3958,3450,2404,7,A
264.7,3329,4860,2360,5,A
380.8,4790,10337,3340,6,A
253.4,3187,2484,2508,6,A
285.9,3596,3354,2304,6,A
302.3,3802,4513,2276,5,B
294.2,3701,5413,1968,6,A
402.3,5060,6763,3688,7,A
